dcas_bbl,dcas_hnum,display_hnum,dcas_sname,sname_1b,parcel_name,display_name,agency,primary_use_code,primary_use_text,reviewed
4108760008,,,100 AVENUE,100 AVENUE,100TH AVE,100TH AVENUE,DOT,880,ROAD/HIGHWAY,Y
5001101159,101,101,CASTLETON AVENUE,CASTLETON AVENUE,110 CASTLETON AVE UNIT UPH-16,110 CASTLETON AVENUE UNIT UPH-16,HPD,1420,NO USE-RESIDENTIAL STRUCTURE,Y
4014210040,9101,9101,NORTHERN BOULEVARD,NORTHERN BOULEVARD,115TH POLICE PCT PARKING,115TH POLICE PRECINCT PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023720001,1162,1162,WASHINGTON AVENUE,WASHINGTON AVENUE,1162 - 1176 WASHINGTON AVE,1162 - 1176 WASHINGTON AVENUE,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
1019220041,131,131,ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,131 ST. NICHOLAS AVE HOUSES,131 ST. NICHOLAS AVENUE HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4121230023,,,133 AVENUE,133 AVENUE,133RD AVE,133RD AVENUE,DOT,880,ROAD/HIGHWAY,Y
2037370001,1471,1471,WATSON AVENUE,WATSON AVENUE,1471 WATSON AVE PROJECT,1471 WATSON AVENUE PROJECT,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4137690108,,,BROOKVILLE BOULEVARD,BROOKVILLE BOULEVARD,149TH AVE,149TH AVENUE,DOT,880,ROAD/HIGHWAY,Y
4134270042,,,184 STREET,184 STREET,149TH AVE,149TH AVENUE,DOT,880,ROAD/HIGHWAY,Y
4101510116,9218,9218,JAMAICA AVENUE,JAMAICA AVENUE,164 ST & 92 AVE PROCEEDING,164 ST AND 92 AVENUE PROCEEDING,DOT,880,ROAD/HIGHWAY,Y
4123570041,,,SMITH STREET,SMITH STREET,166TH ST & RR,166TH ST AND RR,DOT,880,ROAD/HIGHWAY,Y
3055400004,6309-15,6309-15,18 AVENUE,18 AVENUE,18 AVE. STATION,18 AVENUE STATION,MTA,861,TRANSIT WAY,Y
1017670001,1681,1681,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670068,108,108,EAST  119 STREET,EAST  119 STREET,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670069,1693-95,1693-95,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670004,1687,1687,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670071,1691,1691,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670003,1685,1685,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670067,110,110,EAST  119 STREET,EAST  119 STREET,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670168,106,106,EAST  119 STREET,EAST  119 STREET,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670002,1683,1683,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670169,104,104,EAST  119 STREET,EAST  119 STREET,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1017670072,1689,1689,PARK AVENUE,PARK AVENUE,25 PCT PERSONNEL PARKING,25 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1019400013,251,251,WEST 134 STREET,WEST  134 STREET,32 PCT OFF STREET PARKING,32 PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
1019410016,225,225,WEST 135 STREET,WEST  135 STREET,32 PCT PERSONNEL PARKING,32 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
1019410015,227,227,WEST 135 STREET,WEST  135 STREET,32 PCT PERSONNEL PARKING,32 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
4059890087,,,32 AVENUE,32 AVENUE,32ND AVE,32ND AVENUE,DOT,880,ROAD/HIGHWAY,Y
1019400008,261-65,261-65,WEST 134 STREET,WEST  134 STREET,32PCT OFF STREET PARKING,32PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023020060,337,337,EAST  139 STREET,EAST  139 STREET,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023020056,345,345,EAST  139 STREET,EAST  139 STREET,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023020059,339,339,EAST  139 STREET,EAST  139 STREET,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023020058,341,341,EAST  139 STREET,EAST  139 STREET,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023020057,343,343,WILLIS AVENUE,WILLIS AVENUE,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
3044550009,936,936,NEW LOTS AVENUE,NEW LOTS AVENUE,400 MONTAUK AVE. BLOCK ASSOC,400 MONTAUK AVENUE BLOCK ASSOC,PARKS,472,COMMUNITY GARDEN,Y
2031490106,,,VALENTINE AVENUE,VALENTINE AVENUE,46 PCT. OFF STREET PARKING,46 PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2031490042,264-26,264-26,EAST 180 ST,EAST  180 STREET,46 PCT OFF-STREET PARKING,46 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2031490101,2119,2119,VALENTINE AVENUE,VALENTINE AVENUE,46 PCT OFF-STREET PARKING,46 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2031490037,250,250,E. 180 ST.,EAST  180 STREET,46 PCT OFF-STREET PARKING,46 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2049270002,4134,4134,LACONIA AVENUE,LACONIA AVENUE,47TH PCT. OFF STREET PARKING,47TH PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3051110060,2733,2733,ALBEMARLE ROAD,ALBEMARLE ROAD,67TH PCT OFF-STREET PARKING,67TH PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3051110023,,,SNYDER AVE,SNYDER AVENUE,67TH PCT OFF-STREET PARKING,67TH PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3051110059,2735,2735,ALBEMARLE ROAD,ALBEMARLE ROAD,67TH PCT OFF-STREET PARKING,67TH PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680076,1921,1921,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680075,1923,1923,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680072,1431-33,1431-33,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680080,1911,1911,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680081,1909,1909,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680077,1927,1927,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680079,1915,1915,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680074,1925,1925,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680078,1917,1917,STERLING PLACE,STERLING PLACE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3014680066,1431-85,1431-85,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3017950068,631,631,GREENE AVENUE,GREENE AVENUE,79 PCT OFF-STREET PARKING,79 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3017950069,629,629,GREENE AVENUE,GREENE AVENUE,79 PCT OFF-STREET PARKING,79 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3017950071,625,625,GREENE AVENUE,GREENE AVENUE,79 PCT OFF-STREET PARKING,79 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3017950070,627,627,GREENE AVENUE,GREENE AVENUE,79 PCT OFF-STREET PARKING,79 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
3017950075,617,617,GREENE AVENUE,GREENE AVENUE,79 PCT OFF-STREET PARKING,79 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
1020160010,,,,,7TH AVE & 149TH CONTROL ROOM,7TH AVENUE AND 149TH CONTROL ROOM,NYCTA,860,TRANSIT FACILITY,Y
1006130059,61-65,61-65,GREENWICH AVENUE,GREENWICH AVENUE,7TH AVE SO GREENWICH AV SUB,7TH AVENUE SO GREENWICH AV SUB,MTA,862,TRANSIT SUBSTATION,Y
